word	meaning	sent_lc	sent_en
a (prep)	of, to, from, at, with, to have	Li kouri a lékòl.	He goes to school.
abichud (aux v.)	used to (accustomed to)	Yé pa abitchud tendé moun parlé Kréyol.	They are not used to hearing people speak Creole.
(l)abitan (n.)	Farmer	Mo komens ashté gombo é patat sur la shmin, é mo t'apé ashté ça avèk lê abitan a klo.	I'm starting to buy okra and sweet potatoes on the road, and I used to buy that from farmers in the field.
(l)abri (n.)	Shelter	Lapli ap tombé. Mèt mwa a labri.	The rain is falling. Put me in a sheltered place.
adrwa (adv.)	right (direction)	Mo gen særvi jish avèk mô mìn adrwa pou ékri.	I have use just with my right hand to write.
Afrikin (n., adj.)	African	Ina moun ki olé to pèl yé ìn Afrikin.	There are people who want you to call them an African.
agosh (adv.)	Left	Nom-çala goshé. Li fé tou kishòj avèk sô lamìn agosh.	That man is left handed. He does everything with his left hand.
(l)aj (n.)	age	A laj ki mo yê.	At my age.
aklé (v.)	to lock	Mo toujour aklé lapòrt avan mo gonn koushé.	I always lock the door before I go to bed.
akoz (conj.)	because	Çé akoz lapli mo sòrti pa déyòr.	It's because of the rain that I'm not going outside.
alentour (prep.)	around, approximately, about	Mo mèt ìn ti bònom fé a lapay endan mô jardin pou lansé zozo ki ap vini alentour.	I put a scarecrow made of straw in my garden to chase away birds that come around.
alé (v.)	to go	L'alé a lékòl bonnœr matin-çila.	He went to school early this morning.
alfabèt (n.)	alphabet		
Alman (n., adj.)	German	Mô gran-pær té Alman. Li sòrti dan Alman.	My grandfather was German. He came from Germany.
alon (aux v.)	Let's	Alon rèsté isit, alon fé ìn diné!	Let's stay here, let's make dinner!
alòr (int.)	then, so	Mo té édé lantèrman yær é mo té dékourajé. Alòr mo pa fé oken louvraj jòrdi.	I went to help at the funeral yesterday and I was depressed.&nbsp; So I didn't do any housework today.
(z)ami (n.)	friend	Mo galopé koté mô zami en lari.	I ran into my friend on the street.
(l)amour (n.)	love	Ìn jour li wa ìn jœn nonm entré dans lamézon koté sô-chin é li vini amour li.	One day she saw a young man go into the house next door to hers and she fell in love with him.
(l)amourè (n.)	boyfriend, lover (male)	Tô bel, çé tô lamourè paréy.	Your sweetheart is the same thing as your boyfriend.
(z)an (n.)	year (for counting age)	Famiy-çala té viv dan Lavil vin an.	That family lived in New Orleans for twenty years.
(l)andoui (n.)	andouille (sausage)	Si vou'lé dòt kishòj, vou kapab mèt çé gro andoui boukònné.	If you want something else you can put in some of that big smoked sausage.
(l)ané (n.)	year	Mèm lané mo né, mo krò.	Same year I was born, I believe.
anmær (adj.)	bitter	Pou malaria ou la fyèv tranasont, to prenn dimongilyé é to fé ìn gro paké. Bouyi byin jiska li anmær anmær.	For Malaria or the slow fever, take some marsh elder and make a big bundle. Boil it well until it turns bitter bitter.
ap(é) (aux. v.)	progressive marker (present tense)	M'ap montré twa kòm yé dans!	I'm going to show you how they danse!
aprenn (v.)	to learn	Kan mo té douz an, mo aprenn koud é mo fé ìn ròb.	When I was twelve, I learned to sow and I made a dress.
apré (adv. prep.)	after	Apré sòrti lamès, mo vini isit kwi mô dinn.	After I got out of mass, I came here to cook my dinner.
aprémidi (n.)	afternoon	Mo krò mo gen jou kart démin aprémidi.	I think I have to play cards tomorrow afternoon.
