word,part_of_speech,definition
dust,n,pousyèr
light,n,limyèr
birthday | party | holiday,n,fèt 🎉
beer,n,byèr 🍺
fence,n,baryè
God,n,Djè
when,ad/cnj,kan ❓
escape | get away,v,shapé (shap)
diarrhea,n,chirout
roast | stew,n,dob
ash | ashes,n, senn
chair,n,shèj 🪑
table,n,tab
head,n,tèt 👨‍🦲
violin | fiddle,n,vyolon 🎻
work,n,ouvraj | travay
shards of glass,n,èr-boutéy
buy,v,ashté (ashèt)
sit,v,asit
now,ad,astœr
right now,ad,astœr-la
stagger,v,baloté (balot)
before,ad,avan
April,n,avri
balé,n,broom 🧹
sweep | clean out,v,balé (bal)
bag,n,ring 💍
aubergine | eggplant,n,brenm 🍆
box,n,bwat 📦
sugar,n,sik
glass | glass (for drinking),n,vèr
vermin | pest | germs,n, vèrminn
version,n,vèrzyon
vagabond,n,vakabon
swallow,v,valé (val)
cow,n,vash 🐄
van,n,vann 🚚
waltz,n,vals
good | great | excellent | nice,a,vayan
Friday,n,vendrédi
stomach | belly,n,vent

