theme	source	number	quote
meditation	Mātri Vāṇi, Vol. 1	6	Verily, abounding sorrow is the essential characteristic of life in this world. Fix your mind on God.
japa	Mātri Vāṇi, Vol. 1	8	Let His Name be ever with you; imperceptibly, relentlessly time is creeping away.
japa	Mātri Vāṇi, Vol. 1	11	It is possible to practise God’s Name under the most adverse circumstances. He causes everything to happen and is therefore ever near.
peace	Mātri Vāṇi, Vol. 1	12	When you leave everything to Him Who is the Fountain of Peace, and then only may you hope for peace.
initiation	Mātri Vāṇi, Vol. 1	137	To the enquiry whether dīkṣā [initiation by mantra]  is necessary, Mataji replied: “When dīkṣā is necessary it comes about at the appointed time. Keep one’s mind on the thought of God and have unshakable faith that at the right moment He will give all that is needful.”
ātman	Mātri Vāṇi, Vol. 1	142	It is by seeking to know one’s Self that the Great Mother of all may be found.
japa	Mātri Vāṇi, Vol. 1	140	Silent japa should be engaged in at all times. One must not waste breath uselessly: whenever one has nothing special to do one should silently practise japa in rhythm with one’s breathing ---in fact this exercise should go on continually until doing japa has become as natural as breathing. It is of great value to read sacred texts and books of wisdom. Speak the truth. Bear in mind that God’s Name is He Himself in one form; let it be your inseparable companion. Try your utmost never to remain without Him. The more intense and continuous your efforts to dwell in His Presence, the greater will be the likelihood of your growing joyful and serene. When your mind becomes vacant, endeavour to fill it with the awareness of God and His contemplation.
paramārtha	Mātri Vāṇi, Vol. 2	165	Man must ever be intent on discovering the mahāyoga that will reveal his eternal union with the Divine.
japa	Mātri Vāṇi, Vol. 2	250	While working with your hands, His Name should be repeated mentally. The work you do with your hands is the mudrā. With this very mudrā sustain the flow of His Name. Nursing the sick - anything at all is His service, His work. Let this be your attitude of mind.
japa	Mātri Vāṇi, Vol. 2	251	Whenever you possibly can, sustain the flow of a sacred Name. To repeat His Name is to be in His presence. Just as a human friend opens his heart to you and tells you all about himself when you come to him, so, if you associate with the Supreme Friend, He will reveal His true Being to you.  Do you refrain from bathing when faced with waves of the sea? Surely, you plunge right into the midst of them and take your bath. Similarly, in the very thick of tempests and difficulties of worldly life endeavour to maintain the remembrance of Him, the repetition of His Name.
japa	Mātri Vāṇi, Vol. 2	258	Karma accumulated for ages and ages, sins and desires are wiped out by God‟s sacred Name. Just as lighting a lamp illumines a cave that has been in darkness for centuries, even so the obscurity of numberless births is annihilated by the power of a divine name.
japa	Mātri Vāṇi, Vol. 2	259	By God‟s Name the pull of evil is vanquished. There is a saying that it is impossible for man to commit as many sins as can be annulled by God‟s Name: just as a single spark of fire can consume more things than you are ever able to accumulate, so by the contemplation of the Supreme Being, by the endeavour to approach Him, all your sins will be obliterated. The destructible will be destroyed and Reality stand revealed.
japa	Mātri Vāṇi, Vol. 2	260	One seed has to be destroyed by sowing another seed. That is to say, by the constant repetition of the seed mantra, the seed of karma will be destroyed and then no more new karma will be created.
japa	Mātri Vāṇi, Vol. 2	263	Keep on repeating the Name of the Lord. Pray: “Lord be pleased to manifest in the form of dikşā.” Endeavour at all times to remain merged, plunged in the Name. Solely for the sake of God must His Name be repeated remember this.
mārga	Sad Vāṇi	76	In the world people become rich by adding zeros to "one": and on the spiritual path the aspirant concentrates on "one" alone in order to attain to the One Truth. Thus it is obvious that these two paths lead in entirely opposite directions. It will be worth while to ponder seriously over the fact that without the "one" the zeros have no value whatever. Therefore one should with complete faith and reliance on the One ever strive after the One Goal so that there may be no dread of poverty under any circumstances.
fearlessness	Vangmayi Mā	1	Mā's there. Why worry?
bhagwān	Vangmayi Mā	57	He is in the form of union, He Himself is in the form  of separation..
mārga	Vangmayi Mā	76	As long as ‘I’ and ‘mine’ exist, there is no sense of  divinity of God.
